microRNA,R_squared
hsa-miR-488-3p,0.660477644793387
hsa-miR-517-5p,0.660436758492253
hsa-miR-892b,0.659586227892043
hsa-miR-516b-5p,0.659351875899594
hsa-miR-4661-5p,0.659049666190033
hsa-miR-500b-5p,0.656913095009985
hsa-miR-320c,0.655458465973435
hsa-miR-942-3p,0.655046018811144
hsa-miR-382-3p,0.654937122452469
hsa-miR-520g-3p,0.654510586859095
hsa-miR-181c-5p,0.654321154387222
hsa-let-7a-5p,0.653633626861893
hsa-miR-513c-5p,0.653408064460211
hsa-miR-138-1-3p,0.653118289632338
hsa-miR-96-3p,0.652076394829992
hsa-miR-29a-5p,0.650723348487659
hsa-miR-653-5p,0.650344770552448
hsa-miR-892a,0.650141163832648
hsa-miR-432-3p,0.649589872976566
hsa-miR-3651,0.648673354157361
hsa-miR-5586-5p,0.647942939812795
hsa-miR-548f-3p,0.647917739135431
hsa-miR-1185-1-3p,0.647859286317773
hsa-miR-493-3p,0.647608752407232
hsa-miR-301b-3p,0.647164343674435
hsa-miR-495-3p,0.646946053241441
hsa-miR-548x-3p,0.646779035528599
hsa-miR-654-3p,0.646683463676711
hsa-miR-541-3p,0.646255720544926
hsa-miR-409-5p,0.646188762109056
hsa-miR-3934-3p,0.645701113617458
hsa-miR-487a-3p,0.645169433832415
hsa-miR-129-2-3p,0.644939352179564
hsa-miR-26a-2-3p,0.644670815581737
hsa-miR-503-5p,0.644455964011242
hsa-miR-518a-5p,0.644432735326027
hsa-miR-582-5p,0.644131075939191
hsa-miR-518b,0.643164399672598
hsa-miR-34c-5p,0.642229997071831
hsa-miR-450a-5p,0.641863134774725
hsa-let-7g-3p,0.641830692698548
hsa-miR-507,0.641589352693249
hsa-miR-380-3p,0.640371230692785
hsa-miR-3065-3p,0.63976884291941
hsa-miR-527,0.639443687471301
hsa-miR-124-5p,0.639412107874207
hsa-miR-512-3p,0.638868429283261
hsa-miR-301b-5p,0.638796822028924
hsa-miR-494-3p,0.636765375822785
hsa-miR-3934-5p,0.636262497946591
hsa-miR-380-5p,0.636164951795257
hsa-miR-3150b-3p,0.635864062994019
hsa-miR-3170,0.635811967492788
hsa-miR-153-3p,0.635462855944685
hsa-miR-331-3p,0.635293365140728
hsa-miR-338-5p,0.634873197585131
hsa-miR-362-3p,0.633704625830758
hsa-miR-183-3p,0.633693145395796
hsa-miR-769-5p,0.633514114844425
hsa-miR-195-3p,0.633080210036201
hsa-miR-1249-3p,0.632738263923173
hsa-miR-3913-5p,0.632634502172157
hsa-miR-329-5p,0.631007427526593
hsa-miR-27b-5p,0.630774434552286
hsa-miR-519a-5p,0.63044229978859
hsa-miR-494-5p,0.630211866902703
hsa-miR-1228-3p,0.629696401981412
hsa-miR-505-5p,0.629649479228134
hsa-let-7f-1-3p,0.629323403580214
hsa-miR-154-5p,0.629000485642408
hsa-miR-496,0.628916143741492
hsa-miR-33b-5p,0.628819748074855
hsa-miR-1229-3p,0.62874603088784
hsa-miR-6892-5p,0.628083663789652
hsa-miR-376b-3p,0.627580357570264
hsa-miR-24-1-5p,0.626839662737913
hsa-miR-519a-3p,0.626268640865308
hsa-miR-130a-5p,0.625836683104721
hsa-miR-513c-3p,0.624751754165345
